smiles,fgs,fgsmi,fgmol
CC1=NN(c2ccccc2)C(=O)C1,"[{1, 2, 3, 10, 11}]",['C=NN([R])C(=O)[R]'],[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc152a0>]
O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,"[{0, 1}, {5}, {11}, {25}, {9}, {12}]","['O=C([R])[R]', '[R]N([R])[R]', 'O=[Car]', 'F[R]', '[Nar]', '[Nar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc15f50>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc16e30>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc16ab0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc15cb0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc16030>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc161f0>]"
C=CCOc1ccccc1OCC(O)CNC(C)C,"[{0, 1}, {3}, {10}, {13}, {15}]","['C=C', '[R]O[R]', '[R]O[R]', 'O[Cal]', '[R]N[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc16260>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc163b0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc16420>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc16500>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc16180>]"
COc1cccc(-c2c(C)n(Cc3c(F)cccc3C(F)(F)F)c(=O)n(C[C@H](NCCCC(=O)O)c3ccccc3)c2=O)c1F,"[{32, 33, 34}, {1}, {42}, {44}, {14}, {20}, {21}, {22}, {24}, {28}, {10}, {25}]","['O=C(O)[R]', '[R]O[R]', 'O=[Car]', 'F[R]', 'F[R]', 'F[R]', 'F[R]', 'F[R]', 'O=[Car]', '[R]N[R]', '[Nar]', '[Nar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc16ce0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc162d0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc15150>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc16650>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc17140>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc17370>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc173e0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc17450>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc174c0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc175a0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc16570>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc17300>]"
CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,"[{1}, {4, 6, 7}, {40, 41, 39}, {16}, {19}, {36}]","['[R]O[R]', 'O=C([R])N([R])[R]', 'O=C([R])N([R])[R]', '[R]O[R]', '[Nar]', '[Nar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc16490>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc15e70>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc159a0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc176f0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc17530>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc17610>]"
CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O,"[{1}, {32, 3, 4}, {25, 6, 7}, {10}, {12}, {16, 17, 14, 15}, {19}, {24, 21, 22, 23}, {29}, {31}, {35}, {37}, {39}]","['[R]N[R]', '[R]OCO[R]', '[R]OCO[R]', 'O[Cal]', 'O[Cal]', '[R]N=C(N([R])[R])N([R])[R]', 'O[Cal]', '[R]N=C(N([R])[R])N([R])[R]', 'O[Cal]', 'O[Cal]', 'O[Cal]', 'O[Cal]', 'O[Cal]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc17c30>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc17680>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc17060>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc17bc0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc17d10>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc34430>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc17920>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc344a0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc345f0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc34510>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc34660>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc34740>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc34820>]"
CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3,"[{1, 2, 3, 4, 5, 6, 19, 20}]",['[R]OCOCOCOO[R]'],[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc17b50>]
O=C(O)CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,"[{0, 1, 2}, {4}, {9}, {6}, {7}, {10}]","['O=C(O)[R]', '[R]S[R]', '[R]Br', '[Nar]', '[Nar]', '[Nar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc17840>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc17220>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc16f80>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc15a80>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc15d90>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc17a70>]"
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,"[{0}, {8, 5, 6, 7}, {10}, {14}]","['N[Car]', 'O=S(=O)([R])N([R])[R]', '[Nar]', '[Nar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc16ff0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc171b0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc17ca0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc178b0>]"
CCCNS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,"[{3, 4, 5, 6, 7}, {13}, {16}, {21}, {29}, {9}, {11}, {18}, {23}]","['O=S(=O)(N([R])[R])N([R])[R]', '[R]O[R]', '[R]O[R]', '[R]Br', '[R]Br', '[Nar]', '[Nar]', '[Nar]', '[Nar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc17760>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc15c40>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc17f40>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc17ed0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc17ae0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc17990>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc342e0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc34040>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc34350>]"
C=C1CCN([C@H](C)[C@](O)(Cn2cncn2)c2ccc(F)cc2F)CC1,"[{0, 1}, {4}, {8}, {19}, {22}, {10}, {12}, {14}]","['C=C', '[R]N([R])[R]', 'O[Cal]', 'F[R]', 'F[R]', '[Nar]', '[Nar]', '[Nar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc17a00>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc17d80>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc16f10>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc17e60>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc34200>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc177d0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc347b0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc34900>]"
Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1,"[{4}, {7}, {10}, {17, 18, 12, 13, 14}, {22}, {29}]","['[R]N([R])[R]', '[R]N([R])[R]', '[R]N[R]', 'O=C([R])N([R])CS[R]', '[Nar]', '[Nar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc340b0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cbd7760>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc17290>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc170d0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc343c0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc34d60>]"
Oc1ccc2c(c1)CC[C@H](c1ccccc1)[C@@H]2c1ccc(OCCN2CCCC2)cc1,"[{0}, {24}, {21}]","['O[Car]', '[R]N([R])[R]', '[R]O[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc346d0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc34a50>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc16c70>]"
CN(C)CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,"[{1}, {18}, {5}]","['[R]N([R])[R]', 'Cl[R]', '[R]O[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc34190>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc349e0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc15fc0>]"
CC(=O)Nc1c(I)c(C(=O)O)c(I)c(N(C)C(C)=O)c1I,"[{1, 2, 3}, {6}, {8, 9, 10}, {12}, {16, 18, 14}, {20}]","['O=C([R])N([R])[R]', '[R]I', 'O=C(O)[R]', '[R]I', 'O=C([R])N([R])[R]', '[R]I']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc34270>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc34f20>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc35150>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc34f90>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc34ba0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc34cf0>]"
Clc1cc(Cl)c(OCC#CI)cc1Cl,"[{0}, {4}, {6}, {8, 9, 10}, {13}]","['Cl[R]', 'Cl[R]', '[R]O[R]', 'C#CI', 'Cl[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc34120>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc34890>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc34eb0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc34dd0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc351c0>]"
CCOC(Nc1ccc(C(=O)O)cc1)C(=O)c1ccc(-c2ccccc2)cc1,"[{2, 3, 4, 14, 15}, {9, 10, 11}]","['O=C([R])C(O[R])N([R])[R]', 'O=C(O)[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc35070>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc35460>]"
CCCCCc1ccc(C)cc1O,[{12}],['O[Car]'],[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc34ac0>]
CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,"[{10, 11}, {3}]","['C=C', 'O[Cal]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc355b0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc353f0>]"
ClC(Cl)Cl,"[{0}, {2}, {3}]","['Cl[R]', 'Cl[R]', 'Cl[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc35310>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc34e40>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc34c10>]"
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,"[{7, 8, 9, 10, 11, 12, 13, 14}]",['O=C1[R]C(=O)N([R])C(=O)N1[R]'],[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc34970>]
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,"[{0, 1}, {9, 10, 11, 12, 13, 14, 15, 16}]","['C=C', 'O=C1[R]C(=O)N([R])C(=O)N1[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc35700>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc35850>]"
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COP(=O)(O)O,"[{4, 5, 6, 7}, {13}, {21}, {22, 23}, {25, 26, 27, 28, 29}]","['C=CC(=O)[R]', 'O[Cal]', 'O[Cal]', 'O=C([R])[R]', 'O=P(O)(O)O[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc34b30>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc34c80>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc35770>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc35230>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc35930>]"
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,"[{0, 1}, {9, 10, 11, 12, 13, 14, 15, 16}]","['C=C', 'O=C1[R]C(=O)N([R])C(=S)N1[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc35a10>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc35c40>]"
OCC(S)CS,"[{0}, {3}, {5}]","['O[Cal]', 'S[R]', 'S[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc35af0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc358c0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc352a0>]"
C[C@]12C/C(=C/O)C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,"[{3, 4, 5, 6, 7}, {23}]","['O=C([R])C=CO', 'O[Cal]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc350e0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc34580>]"
CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)[C@H](C)C[C@]4(C)[C@H]3CC[C@]12C,"[{2, 3, 4}, {14, 15}]","['O=C([R])O[R]', 'O=C([R])[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc35000>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc35a80>]"
N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,"[{0}, {4}, {11}, {13}, {16, 17, 15}, {24}, {27}, {6}, {19}]","['N[Cal]', '[R]N([R])[R]', 'F[R]', 'O=[Car]', 'O=C(O)[R]', 'F[R]', 'F[R]', '[Nar]', '[Nar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc35e00>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc35620>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc35540>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc36110>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc36180>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc361f0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc36260>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc360a0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc362d0>]"
COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1,"[{16}, {1, 2, 3}]","['[R]N[R]', 'O=C([R])O[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc35d20>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc36030>]"
CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@H]1C(=O)O[C@H](C)[C@H]1[C@H]2/C=C/c1ccc(-c2cccc(F)c2)cn1,"[{32}, {2, 3, 4, 5}, {16, 14, 15}, {21, 22}, {35}]","['F[R]', 'O=C(O[R])N([R])[R]', 'O=C([R])O[R]', 'C=C', '[Nar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc35380>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc357e0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc35f50>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc35fc0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc365e0>]"
Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,"[{5}, {8}, {13}, {16, 17, 18}]","['[R]N[R]', 'F[R]', 'Cl[R]', 'O=C(O)[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc36570>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc35b60>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc359a0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc35cb0>]"
CS(=O)(=O)OC[C@H](O)[C@@H](O)COS(C)(=O)=O,"[{1, 2, 3, 4}, {7}, {9}, {11, 12, 14, 15}]","['O=S(=O)([R])O[R]', 'O[Cal]', 'O[Cal]', 'O=S(=O)([R])O[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc35bd0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc367a0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc35ee0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc35690>]"
Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1,"[{0}, {17}, {14}, {22}, {9}, {12}]","['Cl[R]', 'Cl[R]', '[R]S[R]', 'Cl[R]', '[Nar]', '[Nar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc35d90>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc36880>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc36810>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc363b0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc36730>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc36a40>]"
Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,"[{3, 4, 5, 6}, {18}, {21}, {27}, {12}, {13}]","['O=C([R])N([R])N([R])[R]', 'Cl[R]', 'Cl[R]', 'Cl[R]', '[Nar]', '[Nar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc36ab0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc36420>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc36ce0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc36c70>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc369d0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc36e30>]"
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,"[{1}, {9, 10, 11, 12, 13, 14, 15, 16}, {24, 22, 23}, {33}, {35}, {40, 39}, {43, 44}, {47}, {49}, {51, 52}, {58, 59, 60, 61, 62, 63}]","['[R]O[R]', 'O=C(C(=O)N([R])[R])C(O)O[R]', 'O=C([R])O[R]', 'O[Cal]', '[R]O[R]', 'O=C([R])[R]', 'C=C', 'O[Cal]', '[R]O[R]', 'O=C([R])[R]', 'C=CC=CC=C']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc36960>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc36490>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc373e0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc36d50>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc375a0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc37610>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc37680>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc374c0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc376f0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc37530>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc37840>]"
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2ncc(OC)c3ccc(Cl)cc23)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,"[{0, 1}, {5, 6, 7}, {11}, {16}, {22}, {26, 27, 28}, {32, 33, 30, 31}, {42, 43, 44, 45, 46, 47}, {13}]","['C=C', 'O=C([R])N([R])[R]', '[R]O[R]', '[R]O[R]', 'Cl[R]', 'O=C([R])N([R])[R]', 'O=C(O[R])N([R])[R]', 'O=C([R])N([R])S(=O)(=O)[R]', '[Nar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc378b0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc36ea0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc37a00>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc368f0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc37760>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc37450>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc37a70>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc37bc0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc36ff0>]"
Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,"[{0}, {8}, {12}, {19, 20, 21}]","['F[R]', '[R]N[R]', '[R]O[R]', '[R]OCO[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc370d0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc36dc0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc36b90>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc36b20>]"
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,"[{0}, {3}, {6}, {10}, {17}, {23}, {24}, {25}]","['O[Cal]', '[R]N([R])[R]', '[R]N([R])[R]', '[R]N([R])[R]', '[R]S[R]', 'F[R]', 'F[R]', 'F[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc36650>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc37300>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc37290>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc36f10>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc37d80>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc35e70>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc37e60>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc37f40>]"
CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,"[{33}, {3}, {7}, {15}, {17}, {26}, {29}, {31}, {5}, {20}, {21}, {22}, {35}]","['O[Cal]', '[R]S[R]', '[R]N[R]', 'F[R]', 'F[R]', '[R]O[R]', 'O[Cal]', 'O[Cal]', '[Nar]', '[Nar]', '[Nar]', '[Nar]', '[Nar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc37ae0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc37b50>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc377d0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc37920>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc37ed0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc371b0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc540b0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc54120>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc54200>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc543c0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc54190>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc54040>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc542e0>]"
COc1cc2c(cc1O)CCN[C@]21CS[C@@H]2c3c(OC(C)=O)c(C)c4c(c3[C@H](COC1=O)N1[C@@H]2[C@H]2c3c(cc(C)c(OC)c3O)C[C@@H]([C@@H]1O)N2C)OCO4,"[{1}, {8}, {11}, {14}, {18, 19, 21}, {29, 30, 31}, {32, 48, 47}, {41}, {44}, {49}, {51, 52, 53}]","['[R]O[R]', 'O[Car]', '[R]N[R]', '[R]S[R]', 'O=C([R])O[R]', 'O=C([R])O[R]', 'OCN([R])[R]', '[R]O[R]', 'O[Car]', '[R]N([R])[R]', '[R]OCO[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc37370>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc37ca0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc37d10>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc366c0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc36340>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc54b30>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc54ba0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc54cf0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc37220>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc54a50>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc54e40>]"
Nc1c2c(nc3ccccc13)CCCC2,"[{0}, {4}]","['N[Car]', '[Nar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc36c00>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc354d0>]"
Nc1nc(=O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2C=O,"[{0}, {32, 33, 31}, {4}, {8}, {12}, {17, 18, 19}, {24, 25, 23}, {26, 27, 28}, {2}, {7}]","['N[Car]', 'O=CN([R])[R]', 'O=[Car]', '[R]N[R]', '[R]N[R]', 'O=C([R])N([R])[R]', 'O=C(O)[R]', 'O=C(O)[R]', '[Nar]', '[Nar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cc54900>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc36500>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc37990>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc37060>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc37df0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc54890>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc54970>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc54510>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc54f20>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cc54f90>]"
