smiles,fgs,fgsmi,fgmol
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,"[{2, 3, 4}, {11, 13, 14}, {18}, {6}, {8}]","['O=C([R])O[R]', 'O=C([R])N([R])[R]', 'F[R]', '[Nar]', '[Nar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0a6420>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a7d10>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a7df0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a7f40>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c03c0>]"
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,"[{2, 3, 4}, {8}, {13}]","['O=C([R])O[R]', '[R]O[R]', 'Cl[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0a74c0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a78b0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c02e0>]"
CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,"[{9}, {2}, {19}, {22}]","['[R]O[R]', '[R]O[R]', '[R]N[R]', '[R]O[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0a7ae0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a7ca0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c0200>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c05f0>]"
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,"[{0, 1, 29}, {8}, {13}, {16}, {22}, {24}]","['O=C([R])N([R])[R]', '[R]O[R]', '[R]N([R])[R]', '[R]N([R])[R]', 'Cl[R]', 'Cl[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0c0ac0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c0ba0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c0580>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c00b0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c0510>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c0cf0>]"
CC(CC1c2ccccc2CCc2ccccc21)CN(C)C,[{19}],['[R]N([R])[R]'],[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0c0430>]
CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,"[{6}, {8, 7}, {11}, {13, 14}, {24, 22, 23}]","['O[Cal]', 'C=C', 'O[Cal]', 'O=C([R])[R]', 'O=C(O)[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0c0890>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c0900>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c0190>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c0120>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c0270>]"
CC(C)Oc1ccc(-c2nc(-c3cccc4c3CC[C@@H]4NCCO)no2)cc1C#N,"[{3}, {20}, {23}, {28, 29}, {9}, {24}, {25}]","['[R]O[R]', '[R]N[R]', 'O[Cal]', 'C#N', '[Nar]', '[Nar]', '[Oar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0c09e0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c0350>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c0040>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c04a0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c0e40>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c0eb0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c0660>]"
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C,"[{7}, {10}, {16}, {18}, {20}, {22, 23, 24, 25, 26}, {4}, {8}, {11}, {13}]","['O=[Car]', 'O=[Car]', 'O[Cal]', 'O[Cal]', 'O[Cal]', 'O=P(O)(O)O[R]', '[Nar]', '[Nar]', '[Nar]', '[Nar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0c0f20>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c1150>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c06d0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c0c80>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c1000>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c11c0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c1380>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c13f0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c07b0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c12a0>]"
CC(C)n1c(/C=C/C(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,"[{5, 6}, {8}, {11}, {13, 14, 15}, {21}, {3}]","['C=C', 'O[Cal]', 'O[Cal]', 'O=C(O)[R]', 'F[R]', '[Nar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0c0b30>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c0a50>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c0dd0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c1540>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c15b0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c1070>]"
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,"[{7}, {16, 12, 13, 14, 15}]","['N[Car]', 'O=C([R])N([R])C(=O)[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0c1770>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c0820>]"
